-1,NULL,0,NULL
1,SRMG,50,Good day out!
2,SRMG,200,Good day out!
3,SRMG,125,Good day out!
4,SRMG,150,Good day out!
5,SRMG,40,Good day out!
6,GENERIC,0,Good day out!
7,SRMG,150,Good day out!
8,SRMG,100,Good day out!
9,SRMG,40,Good day out!
10,SRMG,0,Good day out!
11,SRMG,30,Good day out!
12,SRMG,70.9,Good day out!
13,SRMG,20,Good day out!
14,SRMG,250,Good day out!
15,SRMG,150,Good day out!
16,SRMG,50,Good day out!
17,SRMG,40,Good day out!
18,SRMG,90,Good day out!
19,SRMG,100,Good day out!
20,SRMG,300,Good day out!
21,SRMG,100,Good day out!
22,SRMG,40,Good day out!
23,SRMG,20,Good day out!
24,SRMG,200,Good day out!
25,SRMG,20,Good day out!
26,ARR,40,Good day out!
